status;shortlong;forceIndex;trend2min;trend5min;trend10min;trend15min;difCand5;buildDate;difOpenClose;dojy;hammer;breakout;highGulf;lowGulf
GAIN;VENDIDO;95;-45;-75;-120;-60;-95;1556799299000;-50;false;false;false;false;false
GAIN;VENDIDO;130;15;10;60;-65;-130;1556800199000;0;true;false;false;false;false
LOSS;VENDIDO;105;-60;-15;-5;-85;-105;1556800499000;-60;false;false;false;false;false
GAIN;COMPRADO;85;-40;-10;15;75;85;1556801399000;-25;false;false;false;false;false
GAIN;VENDIDO;120;-125;-175;-140;-185;-120;1556802899000;-100;false;false;false;false;false
GAIN;COMPRADO;90;30;135;130;80;90;1556803499000;5;true;true;false;false;false
GAIN;VENDIDO;110;40;-165;-65;-80;-110;1556804099000;5;true;true;false;false;false
GAIN;COMPRADO;245;10;15;275;280;245;1556804999000;25;false;false;false;false;false
GAIN;COMPRADO;185;80;215;225;240;185;1556805299000;15;false;true;false;false;false
GAIN;VENDIDO;125;30;-40;-125;-75;-125;1556806199000;20;false;false;false;false;false
GAIN;VENDIDO;145;10;-40;-15;-140;-145;1556807399000;5;true;false;false;false;false
GAIN;VENDIDO;145;5;50;-50;-135;-145;1556809199000;30;false;false;false;false;false
LOSS;COMPRADO;170;145;145;160;215;170;1556809499000;125;false;false;false;false;false
GAIN;VENDIDO;125;-25;-70;-120;-175;-125;1556810399000;-30;false;false;false;false;true
LOSS;COMPRADO;130;30;45;130;165;130;1556814299000;55;false;false;false;false;false
GAIN;COMPRADO;90;-15;45;55;45;90;1556814899000;-25;false;false;false;false;false
LOSS;VENDIDO;100;-45;-95;-130;-95;-100;1556816699000;-45;false;false;false;false;false
GAIN;COMPRADO;145;10;40;85;80;145;1556817299000;35;false;false;false;false;false
GAIN;VENDIDO;110;-65;-105;-135;-170;-110;1556822999000;-10;false;false;false;false;false
LOSS;COMPRADO;85;25;40;55;85;85;1556823299000;35;false;false;false;false;false
GAIN;COMPRADO;85;20;50;50;65;85;1556823899000;45;false;false;false;false;false
GAIN;VENDIDO;80;0;-20;-15;-65;-80;1556825399000;-25;false;false;false;false;false
GAIN;COMPRADO;120;15;70;155;125;120;1556826299000;15;false;false;false;false;false
GAIN;VENDIDO;95;-10;-25;-115;-90;-95;1556827199000;-5;true;false;false;false;false
GAIN;COMPRADO;120;40;20;90;105;120;1556886899000;45;false;false;false;false;false
LOSS;VENDIDO;95;-10;-40;-35;-100;-95;1556887799000;-20;false;true;false;false;false
GAIN;VENDIDO;115;-95;-95;-125;-135;-115;1556889299000;-45;false;false;false;false;false
GAIN;COMPRADO;165;-40;-50;250;170;165;1556890799000;-10;false;true;false;false;false
LOSS;VENDIDO;110;-20;-80;-125;-100;-110;1556892899000;-5;true;false;false;false;false
GAIN;COMPRADO;105;10;95;105;80;105;1556893799000;-20;false;true;false;false;false
GAIN;COMPRADO;85;10;80;100;135;85;1556894699000;-10;false;true;false;false;false
GAIN;COMPRADO;95;30;25;125;90;95;1556895899000;25;false;false;false;false;false
GAIN;VENDIDO;105;-55;-35;-75;-80;-105;1556896799000;-15;false;false;false;false;false
LOSS;COMPRADO;100;60;30;60;75;100;1556898299000;60;false;false;false;false;false
LOSS;VENDIDO;80;-15;-30;-60;-100;-80;1556907299000;-15;false;false;false;false;false
GAIN;COMPRADO;90;5;-20;10;45;90;1557145199000;-30;false;false;false;false;false
GAIN;COMPRADO;110;-10;-10;75;95;110;1557146099000;-15;false;false;false;false;false
LOSS;VENDIDO;85;-20;-50;-55;45;-85;1557148499000;-60;false;false;false;false;true
GAIN;VENDIDO;105;-40;-80;-95;-110;-105;1557149399000;-50;false;false;false;false;false
GAIN;COMPRADO;155;220;200;130;65;155;1557149699000;110;false;false;false;false;false
LOSS;COMPRADO;85;5;-25;95;200;85;1557150299000;35;false;false;false;false;false
GAIN;COMPRADO;120;35;80;115;115;120;1557152099000;25;false;false;false;false;false
GAIN;VENDIDO;115;-5;-40;-130;-95;-115;1557152699000;-40;false;false;false;false;false
GAIN;VENDIDO;130;60;65;-120;-165;-130;1557153299000;60;false;false;false;true;false
GAIN;COMPRADO;120;-25;-10;70;80;120;1557154199000;-30;false;false;false;false;false
GAIN;COMPRADO;110;40;70;90;90;110;1557156299000;35;false;false;false;false;false
GAIN;VENDIDO;95;-20;-135;40;25;-95;1557156899000;5;true;false;false;false;false
GAIN;COMPRADO;105;-15;0;50;120;105;1557157199000;-5;true;true;false;false;false
GAIN;VENDIDO;85;35;-40;-45;-90;-85;1557160199000;5;true;false;false;false;false
LOSS;COMPRADO;80;45;40;70;90;80;1557160799000;55;false;false;false;false;false
GAIN;VENDIDO;85;-40;-65;-80;-70;-85;1557176099000;-35;false;false;false;false;false
GAIN;VENDIDO;90;-20;-15;-55;-65;-90;1557233399000;-30;false;false;false;false;true
GAIN;VENDIDO;110;-25;-35;-15;-100;-110;1557233999000;-50;false;false;false;false;false
GAIN;VENDIDO;115;35;-125;-120;-110;-115;1557235199000;15;false;false;false;false;false
GAIN;VENDIDO;170;-35;-25;-160;-330;-170;1557235499000;-5;true;false;false;false;false
GAIN;VENDIDO;125;-30;-140;-205;-255;-125;1557236099000;-35;false;false;false;false;false
GAIN;VENDIDO;255;-55;-235;-295;-395;-255;1557236399000;-25;false;false;false;false;false
LOSS;VENDIDO;390;-125;-390;-400;-395;-390;1557236999000;15;false;false;false;false;false
GAIN;COMPRADO;165;55;145;-105;-200;165;1557237299000;75;false;false;false;false;false
GAIN;VENDIDO;465;-315;-435;-480;-475;-465;1557238499000;-220;false;false;false;false;false
GAIN;COMPRADO;185;15;50;-55;-265;185;1557238799000;40;false;false;false;false;false
LOSS;COMPRADO;275;20;275;390;225;275;1557239099000;20;false;false;false;false;false
GAIN;VENDIDO;155;-115;-145;-180;-150;-155;1557239699000;-90;false;false;false;false;false
GAIN;COMPRADO;175;35;30;140;240;175;1557240599000;-15;false;true;false;false;false
GAIN;COMPRADO;215;20;70;35;185;215;1557241799000;65;false;false;false;false;false
GAIN;COMPRADO;225;210;215;290;300;225;1557242099000;120;false;false;false;false;false
GAIN;COMPRADO;105;80;10;315;335;105;1557242399000;65;false;false;false;true;false
GAIN;VENDIDO;105;-5;40;-90;-105;-105;1557242699000;20;false;false;false;false;false
GAIN;VENDIDO;85;-70;-60;-75;-20;-85;1557245399000;-20;false;false;false;false;false
GAIN;COMPRADO;140;15;15;90;135;140;1557245999000;25;false;false;false;false;false
GAIN;COMPRADO;150;30;-10;125;197;150;1557246599000;-20;false;true;false;false;false
GAIN;COMPRADO;85;-30;-65;-70;85;85;1557246899000;-25;false;false;false;false;false
GAIN;VENDIDO;80;-40;-50;-65;-45;-80;1557247499000;-25;false;false;false;false;false
GAIN;VENDIDO;90;10;30;-75;-115;-90;1557248699000;20;false;false;false;false;false
GAIN;VENDIDO;160;-20;-40;-130;-160;-160;1557248999000;-40;false;false;false;false;false
GAIN;VENDIDO;200;-55;-140;-180;-185;-200;1557250499000;50;false;false;false;false;false
